DisplayName,UserPrincipalName,DefaultPassword,Status,Department,JobTitle
Robert Wilson,rwilson2@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Sarah Wright,swright@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Oliver Thomas,othomas@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Javier Ramos,jramos@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Andrew Harris,aharris@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Nia Dixon,ndixon@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Darius Mosley,dmosley@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Sarah Thompson,sthompson@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Software Engineer
Aaliyah Hayes,ahayes@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Rachel Wilson,rwilson@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Kelechi Adeyemi,kadeyemi@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Robert Miller,rmiller@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Chukwuemeka Ogundipe,cogundipe@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Tanisha Jefferson,tjefferson@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Chinonso Sowande,csowande@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Yuki Kim,ykim@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Alicia Cotton,acotton@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Yewande Oyelaran,yoyelaran@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Paulina Ramirez,pramirez@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Javier Martinez,jmartinez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Diego Lopez,dlopez@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Isla Hill,ihill@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
Javier Garcia,jgarcia@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Harry Edwards,hedwards@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Rahul Kobayashi,rkobayashi@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Amara Nwosu,anwosu@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Henry Robinson,hrobinson@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Francisco Ramos,framos@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Regional Sales Lead
Tunde Sowande,tsowande@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Daisy Smith,dsmith@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Jun Chen,jchen@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Jennifer Taylor,jtaylor@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Jun Patel,jpatel@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Alicia Holloway,aholloway@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Diego Cruz,dcruz@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
Emily Walker,ewalker@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Ebony Washington,ewashington@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Wei Singh,wsingh@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Malik Washington,mwashington@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Ruby Clarke,rclarke@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accounts Payable Specialist
Francisco Hernandez,fhernandez@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Divya Patel,dpatel@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Thomas Davies,tdavies@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Keisha Jefferson,kjefferson@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Grace White,gwhite@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Renata Lopez,rlopez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Ikenna Okafor,iokafor@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Eduardo Cruz,ecruz@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Oluwaseun Balogun,obalogun@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Amanda Lewis,alewis@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Francisco Flores,fflores2@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Oliver White,owhite@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Hiro Chen,hchen@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
Javier Cruz,jcruz@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Terrell Mosley,tmosley@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Daisy Davies,ddavies@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Tunde Adebayo,tadebayo@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Hiro Kumar,hkumar@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Nkechi Okoro,nokoro@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Uche Nnamdi,unnamdi@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Ricardo Perez,rperez@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Oscar Green,ogreen@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Marcus Bell,mbell@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Willow Roberts,wroberts@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accounts Payable Specialist
Ricardo Hernandez,rhernandez@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
David Harris,dharris@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Harry Hughes,hhughes@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Divya Li,dli@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Nicole Taylor,ntaylor@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
Nari Tanaka,ntanaka@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Nari Sharma,nsharma@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Tunde Ibrahim,tibrahim@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Christopher Young,cyoung@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Paulina Garcia,pgarcia@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Aisha Ibrahim,aibrahim@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Florence Wilson,fwilson@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Oscar Baker,obaker@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Keisha Bell,kbell@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Thomas Thomas,tthomas@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Megan Wright,mwright@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Jennifer Miller,jmiller@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
Priya Yamamoto,pyamamoto@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Malik Holloway,mholloway@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Isaiah Mosley,imosley@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Miguel Lopez,mlopez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Divya Tanaka,dtanaka@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Imani Reed,ireed@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Ifeoma Uzoma,iuzoma@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Daniel Wilson,dwilson@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Regional Sales Lead
Folasade Ibrahim,fibrahim@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Sofia Ramirez,sramirez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Alejandro Gutierrez,agutierrez@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Alejandro Mendoza,amendoza@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Priya Lee,plee@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Ngozi Adeyemi,nadeyemi@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Florence Edwards,fedwards@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Chukwuemeka Balogun,cbalogun@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Priya Wang,pwang@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Aaliyah Coleman,acoleman@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Renata Gonzalez,rgonzalez@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Arthur Thompson,athompson@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Ikenna Eze,ieze2@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Ebony Jefferson,ejefferson@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Florence Davies,fdavies@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Aiko Kobayashi,akobayashi@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Yewande Ibrahim,yibrahim@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Rahul Park,rpark@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Fernanda Flores,fflores@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
David Miller,dmiller@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Ruby Evans,revans@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Divya Lee,dlee@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Alejandra Gutierrez,agutierrez2@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Eduardo Mendoza,emendoza@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Gabriela Martinez,gmartinez@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
John White,jwhite@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Destiny Reed,dreed@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Ling Singh,lsingh@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Sarah Miller,smiller@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Emily Allen,eallen@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Valentina Sanchez,vsanchez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Daniel Clark,dclark@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Emeka Eze,eeze@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Florence Hill,fhill@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Willow Wood,wwood@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Haruto Wang,hwang@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Tunde Nwosu,tnwosu@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Software Engineer
Daniela Ramirez,dramirez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Amara Balogun,abalogun@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Ifeoma Eze,ieze@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
Keisha Dixon,kdixon@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Rohan Yamamoto,ryamamoto@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Alicia Freeman,afreeman@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Poppy Roberts,proberts@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Charlie Green,cgreen@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Obinna Nwosu,onwosu@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Robert Smith,rsmith@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Priya Zhang,pzhang@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Fernanda Lopez,flopez@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Daniel Miller,dmiller2@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
Yuki Nguyen,ynguyen@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Wei Nguyen,wnguyen@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Terrell Bell,tbell@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Jack Wilson,jwilson@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Jamal Dixon,jdixon@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Nicole Clark,nclark@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Wei Yamamoto,wyamamoto@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Minjun Lee,mlee@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Charlie Evans,cevans@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Priya Nguyen,pnguyen@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Chidi Okonkwo,cokonkwo@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Diego Gutierrez,dgutierrez@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Hiro Watanabe,hwatanabe@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Help Desk Technician
Lauren Young,lyoung@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
James Johnson,jjohnson2@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Daniela Flores,dflores@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Lauren King,lking@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Chidi Ibrahim,cibrahim2@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Financial Analyst
Jessica Johnson,jjohnson@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
DeShawn Washington,dwashington@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Lauren Brown,lbrown@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Obinna Olawale,oolawale@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Tanisha Freeman,tfreeman@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Software Engineer
Grace Hall,ghall@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Systems Architect
Rohan Tanaka,rtanaka@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Charlie Hall,chall@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Jessica Anderson,janderson@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Alfie Hall,ahall@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Chinonso Ibrahim,cibrahim@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
James Thompson,jthompson@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Divya Kumar,dkumar@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
Carlos Morales,cmorales@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Generalist
Anh Li,ali@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Finance Manager
Babajide Nwosu,bnwosu@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Oscar Wood,owood@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Oliver Hill,ohill@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Arjun Chen,achen@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Account Executive
Keisha Coleman,kcoleman@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
